1|1.1|V1. Architecture, design and threat modelling|Verify that all application components are identified and are known to be needed.|x|x|x|1.0
2|1.2|V1. Architecture, design and threat modelling|Verify that all components, such as libraries, modules, and external systems, that are not part of the application but that the application relies on to operate are identified.||x|x|1.0
3|1.3|V1. Architecture, design and threat modelling|Verify that a high-level architecture for the application has been defined.||x|x|1.0
4|1.4|V1. Architecture, design and threat modelling|Verify that all application components are defined in terms of the business functions and/or security functions they provide.|||x|1.0
5|1.5|V1. Architecture, design and threat modelling|Verify that all components that are not part of the application but that the application relies on to operate are defined in terms of the functions, and/or security functions, they provide.|||x|1.0
6|1.6|V1. Architecture, design and threat modelling|Verify that a threat model for the target application has been produced and covers off risks associated with Spoofing, Tampering, Repudiation, Information Disclosure, and Elevation of privilege (STRIDE).|||x|1.0
7|1.7|V1. Architecture, design and threat modelling|Verify all security controls (including libraries that call external security services) have a centralized implementation.|||x|1.0
8|1.8|V1. Architecture, design and threat modelling|Verify that components are segregated from each other via a defined security control, such as network segmentation, firewall rules, or cloud based security groups.||x|x|3.0
9|1.9|V1. Architecture, design and threat modelling|Verify the application has a clear separation between the data layer, controller layer and the display layer, such that security decisions can be enforced on trusted systems.||x|x|3.0
10|1.10|V1. Architecture, design and threat modelling|Verify that there is no sensitive business logic, secret keys or other proprietary information in client side code.||x|x|3.0
11|1.11|V1. Architecture, design and threat modelling|Verify that all application components, libraries, modules, frameworks, platform, and operating systems are free from known vulnerabilities.||x|x|3.0.1
12|2.1|V2: Authentication Verification Requirements|Verify all pages and resources by default require authentication except those specifically intended to be public (Principle of complete mediation).|x|x|x|1.0
13|2.2|V2: Authentication Verification Requirements|Verify that forms containing credentials are not filled in by the application. Pre-filling by the application implies that credentials are stored in plaintext or a reversible format, which is explicitly prohibited. |x|x|x|3.0.1
14|2.4|V2: Authentication Verification Requirements|Verify all authentication controls are enforced on the server side.|x|x|x|1.0
15|2.6|V2: Authentication Verification Requirements|Verify all authentication controls fail securely to ensure attackers cannot log in.|x|x|x|1.0
16|2.7|V2: Authentication Verification Requirements|Verify password entry fields allow, or encourage, the use of passphrases, and do not prevent password managers, long passphrases or highly complex passwords being entered.|x|x|x|3.0.1
17|2.8|V2: Authentication Verification Requirements|Verify all account identity authentication functions (such as update profile, forgot password, disabled / lost token, help desk or IVR) that might regain access to the account are at least as resistant to attack as the primary authentication mechanism.|x|x|x|2.0
18|2.9|V2: Authentication Verification Requirements|Verify that the changing password functionality includes the old password, the new password, and a password confirmation.|x|x|x|1.0
19|2.12|V2: Authentication Verification Requirements|Verify that all authentication decisions can be logged, without storing sensitive session identifiers or passwords. This should include requests with relevant metadata needed for security investigations.||x|x|3.0.1
20|2.13|V2: Authentication Verification Requirements|Verify that account passwords are one way hashed with a salt, and there is sufficient work factor to defeat brute force and password hash recovery attacks. ||x|x|3.0.1
21|2.16|V2: Authentication Verification Requirements|Verify that credentials are transported using a suitable encrypted link and that all pages/functions that require a user to enter credentials are done so using an encrypted link.|x|x|x|3.0
22|2.17|V2: Authentication Verification Requirements|Verify that the forgotten password function and other recovery paths do not reveal the current password and that the new password is not sent in clear text to the user.|x|x|x|2.0
23|2.18|V2: Authentication Verification Requirements|Verify that information enumeration is not possible via login, password reset, or forgot account functionality.|x|x|x|2.0
24|2.19|V2: Authentication Verification Requirements|Verify there are no default passwords in use for the application framework or any components used by the application (such as “admin/password”).|x|x|x|2.0
25|2.20|V2: Authentication Verification Requirements|Verify that anti-automation is in place to prevent breached credential testing, brute forcing, and account lockout attacks.|x|x|x|3.0.1
26|2.21|V2: Authentication Verification Requirements|Verify that all authentication credentials for accessing services external to the application are encrypted and stored in a protected location.||x|x|2.0
27|2.22|V2: Authentication Verification Requirements|Verify that forgotten password and other recovery paths use a TOTP or other soft token, mobile push, or other offline recovery mechanism. Use of a random value in an e-mail or SMS should be a last resort and is known weak.|x|x|x|3.0.1
28|2.23|V2: Authentication Verification Requirements|Verify that account lockout is divided into soft and hard lock status, and these are not mutually exclusive. If an account is temporarily soft locked out due to a brute force attack, this should not reset the hard lock status.||x|x|3.0
29|2.24|V2: Authentication Verification Requirements|Verify that if shared knowledge based questions (also known as "secret questions") are required, the questions do not violate privacy laws and are sufficiently strong to protect accounts from malicious recovery. |x|x|x|3.0.1
30|2.25|V2: Authentication Verification Requirements|Verify that the system can be configured to disallow the use of a configurable number of previous passwords.||x|x|2.0
31|2.26|V2: Authentication Verification Requirements|Verify that risk based re-authentication, two factor or transaction signing is in place for high value transactions. ||x|x|3.0.1
32|2.27|V2: Authentication Verification Requirements|Verify that measures are in place to block the use of commonly chosen passwords and weak passphrases.|x|x|x|3.0
33|2.28|V2: Authentication Verification Requirements|Verify that all authentication challenges, whether successful or failed, should respond in the same average response time.|||x|3.0
34|2.29|V2: Authentication Verification Requirements|Verify that secrets, API keys, and passwords are not included in the source code, or online source code repositories.|||x|3.0
35|2.31|V2: Authentication Verification Requirements|Verify that if an application allows users to authenticate, they can authenticate using two-factor authentication or other strong authentication, or any similar scheme that provides protection against username + password disclosure.||x|x|3.0
36|2.32|V2: Authentication Verification Requirements|Verify that administrative interfaces are not accessible to untrusted parties.|x|x|x|3.0
37|2.33|V2: Authentication Verification Requirements|Browser autocomplete, and integration with password managers are permitted unless prohibited by risk based policy.|x|x|x|3.0.1
38|3.1|V3: Session Management Verification Requirements|Verify that there is no custom session manager, or that the custom session manager is resistant against all common session management attacks.|x|x|x|1.0
39|3.2|V3: Session Management Verification Requirements|Verify that sessions are invalidated when the user logs out.|x|x|x|1.0
40|3.3|V3: Session Management Verification Requirements|Verify that sessions timeout after a specified period of inactivity.|x|x|x|1.0
41|3.4|V3: Session Management Verification Requirements|Verify that sessions timeout after an administratively-configurable maximum time period regardless of activity (an absolute timeout).|||x|1.0
42|3.5|V3: Session Management Verification Requirements|Verify that all pages that require authentication have easy and visible access to logout functionality.|x|x|x|1.0
43|3.6|V3: Session Management Verification Requirements|Verify that the session id is never disclosed in URLs, error messages, or logs. This includes verifying that the application does not support URL rewriting of session cookies.|x|x|x|1.0
44|3.7|V3: Session Management Verification Requirements|Verify that all successful authentication and re-authentication generates a new session and session id.|x|x|x|1.0
45|3.10|V3: Session Management Verification Requirements|Verify that only session ids generated by the application framework are recognized as active by the application.||x|x|1.0
46|3.11|V3: Session Management Verification Requirements|Verify that session ids are sufficiently long, random and unique across the correct active session base.||x|x|1.0
47|3.12|V3: Session Management Verification Requirements|Verify that session ids stored in cookies have their path set to an appropriately restrictive value for the application, and authentication session tokens additionally set the “HttpOnly” and “secure” attributes|x|x|x|3.0
48|3.16|V3: Session Management Verification Requirements|Verify that the application limits the number of active concurrent sessions.|x|x|x|3.0
49|3.17|V3: Session Management Verification Requirements|Verify that an active session list is displayed in the account profile or similar of each user. The user should be able to terminate any active session.|x|x|x|3.0
50|3.18|V3: Session Management Verification Requirements|Verify the user is prompted with the option to terminate all other active sessions after a successful change password process.|x|x|x|3.0
51|4.1|V4: Access Control Verification Requirements|Verify that the principle of least privilege exists - users should only be able to access functions, data files, URLs, controllers, services, and other resources, for which they possess specific authorization. This implies protection against spoofing and elevation of privilege.|x|x|x|1.0
52|4.4|V4: Access Control Verification Requirements|Verify that access to sensitive records is protected, such that only authorized objects or data is accessible to each user (for example, protect against users tampering with a parameter to see or alter another user's account).|x|x|x|1.0
53|4.5|V4: Access Control Verification Requirements|Verify that directory browsing is disabled unless deliberately desired. Additionally, applications should not allow discovery or disclosure of file or directory metadata, such as Thumbs.db, .DS_Store, .git or .svn folders.|x|x|x|1.0
54|4.8|V4: Access Control Verification Requirements|Verify that access controls fail securely.|x|x|x|1.0
55|4.9|V4: Access Control Verification Requirements|Verify that the same access control rules implied by the presentation layer are enforced on the server side.|x|x|x|1.0
56|4.10|V4: Access Control Verification Requirements|Verify that all user and data attributes and policy information used by access controls cannot be manipulated by end users unless specifically authorized.||x|x|1.0
57|4.11|V4: Access Control Verification Requirements|Verify that there is a centralized mechanism (including libraries that call external authorization services) for protecting access to each type of protected resource.|||x|1.0
58|4.12|V4: Access Control Verification Requirements|Verify that all access control decisions can be logged and all failed decisions are logged.||x|x|2.0
59|4.13|V4: Access Control Verification Requirements|Verify that the application or framework uses strong random anti-CSRF tokens or has another transaction protection mechanism.|x|x|x|2.0
